# Abbr
G/P	0	1
0	0	6
1	3	0

# Aspect
G/P	0	1
0	407	138
1	136	782

# Case
G/P	0	1
0	423	129
1	278	4988

# Evident
G/P	0	1
0	9	23
1	81	414

# Mood
G/P	0	1
0	19	33
1	178	200

# NumType
G/P	0	1
0	1	29
1	9	233

# Number
G/P	0	1
0	71	196
1	321	6539

# Number[psor]
G/P	0	1
0	59	79
1	75	1728

# Person
G/P	0	1
0	56	196
1	321	6554

# Person[psor]
G/P	0	1
0	26	79
1	75	1761

# Polarity
G/P	0	1
0	57	176
1	78	2084

# Polite
G/P	0	1
0	0	0
1	2	0

# PronType
G/P	0	1
0	0	222
1	7	14

# Reflex
G/P	0	1
0	0	36
1	0	0

# Tense
G/P	0	1
0	70	83
1	111	1427

# Typo
G/P	0	1
0	0	0
1	1	0

# VerbForm
G/P	0	1
0	19	139
1	83	989

# Voice
G/P	0	1
0	4	78
1	87	278

