# Abbr
G/P	0	1
0	0	0
1	3	0

# Aspect
G/P	0	1
0	27	84
1	40	1112

# Case
G/P	0	1
0	137	245
1	206	5339

# Evident
G/P	0	1
0	3	14
1	9	490

# Mood
G/P	0	1
0	8	32
1	41	317

# NumType
G/P	0	1
0	2	21
1	20	232

# Number
G/P	0	1
0	33	269
1	176	6535

# Number[psor]
G/P	0	1
0	47	100
1	84	1629

# Person
G/P	0	1
0	28	269
1	176	6540

# Person[psor]
G/P	0	1
0	9	100
1	84	1667

# Polarity
G/P	0	1
0	18	121
1	60	1951

# Polite
G/P	0	1
0	0	0
1	2	0

# PronType
G/P	0	1
0	0	2
1	11	9

# Reflex
G/P	0	1
0	0	0
1	2	1

# Tense
G/P	0	1
0	21	96
1	44	1453

# VerbForm
G/P	0	1
0	0	36
1	27	503

# Voice
G/P	0	1
0	9	53
1	49	288

