Sentence ID,Text,,Annotations link,,,,,,,,,,
news_1273,Canımın istediği şarkıları söylüyorum.,,,,,,,,,,,,
ins_791,- Şimdi de bol şekerli Şerbet.,,,,,,,,,,,,
ins_1892,Bunlar o zamana göre (Hitler'in sınıra dayandığı 1940'lı savaş yılları) büyük lükstü. ,,,,,,,,,,,,
bio_433,"Berlin'de, her gün biraz daha fazla ısınmaya başladığım bu ülkeyi daha iyi tanıyabilmek amacıyla Türkler ve Almanlar arasındaki geleneksel bağları konu alan belgelerini araştırırdı.  ",,,,,,,,,,,,
bio_1666,"Oysa, 1961'in sonbaharında, yani 1961 Ekim'inde Orta Doğu Teknik Üniversitesi bütün bu gereçlerden yoksun bulunmaktaydı.",,,,,,,,,,,15: anotasyon hatası: (yoksunlar),
pop_62,"""İstanbul aslında deprem kuşağının tam göbeğindeymiş. """,,,,,,,,,,,anotasyon hatası: Tırnak kapanmamış,
ins_636,"Anadolu Selçükluları devrinden Osmanlılar'ın son yıllarına kadar bir esnaf ve sanatkâr örgütü olarak bilinen ahinin her köyde, her kasabada ve şehirde, ocakları, odaları ve tekkeleri vardı. ",,,,,,,,,,,,
news_81,Ancak bunu Türkiye'nin üyeliğini engelleyecek bir unsur olarak görmüyor. ,,,,,,,,,,,,
news_1295,Dünya'nın hiçbir yerinde kayıt dışı 0 değil.,,,,,,,,,,,,
bio_1401,"Ama on üç on dört yaşıma geldiğinde, gene evdeki konuşmalardan, biliyordum bunların olduğunu.",,,,,,,,,,,5-7 Person[psor] değerinin empty olması lazım,6: yaş anotasyonu eksik
bio_889,Sirenleri açtılar ve anons etmeye devam ettiler.,,,,,,,,,,,,
news_1406,Dönerken de sorun.,,,,,,,,,,,,
news_1043,Kapatma kararı alınmaması sonrası AKP'lilerin sevinçleri TBMM genel kurul salonuna da yansıdı. ,,,,,,,,,,,AKP'nin anotasyonu eksik,
bio_562,Müzikte neler olup bitiyor? Almanya'yı bilmek kolay.,,,,,,,,,,,,
ess_624,"Ben yani nerdeyse bir Christian Scientist üyesi kadar ""düşkünü"" addedilirim doktorlara.",,,,,,,,,,,,
bio_1386,Mücadelem süresi coşkum bu korkuma eşlik etti.,,,,,,,,,,,"2: Eğer surface form ""süresi"" ise eksik anotasyon",
pop_63,"Ankara, Mustabey, çengel, kum, bey olmak üzere birçok çeşidi vardır. ",,,,,,,,,,,,
ess_539,"Çocukların, oturacağı bir okul sırasına sahip olamayabilir...",,,,,,,,,,,,
ins_887,Unut lütfen bunları !,,,,,,,,,,,,
ess_1832,"Önlüğü bile özel dikiliyor, çünkü onun boyuna göre önlük yok.",,,,,,,,,,,11: Sanırım Polarity=Neg yanlış,
pop_795,Aşağı yukarı böyle bir şey; detayları atlamış olabilirim zira çok uzun yıllar bu faaliyette bulunmadım. ,,,,,,,,,,,,
ess_75,"O hâlde, insanın her bekleyişini ve her mühleti verişini sabır olarak değerlendirmenin mümkün olmadığı anlaşılıyor.",,,,,,,,,,,"6, 10 Vnoun bilgisi eksik",vermesi ve beklemesi de oluyor.
ess_1924," Yalnız, neden yaşamak ıstırap verici bir şey ?",,,,,,,,,,,Baştaki tırnağın neden olduğunu anlamadım.,
ins_808,1. Yakın çevrelerimde hangi sağlık kurumları var ?,,,,,,,,,,,,
ins_1037,"Hem bir şeyleri satmaya, hem bir şeyleri almaya gelmeye.",,,,,,,,,,,,
ess_329,"Birkaç yıldır, Kürt, Kıbrıs, Ermeni ve diğer azınlık sorunlarının, AB'ye girmenin, islamcı kökenli bir partinin iktidara gelmesinin etkisiyle ve bunlara tepki olarak, milliyetçilik yükselmeye başladı. ",,,,,,,,,,,"girişin, gelişinin de oluyor ",16: VerbForm=Vnoun bilgisi eksik
ins_414,Gülerken düşündür.,,,,,,,,,,,,
bio_307,Ben ortaokula başlamadan bir yıl önce okulun müdürü bir öğrenci tarafından tabancayla vurulup ölmüştü.,,,,,,,,,,,3: polarity neg olmalıydı,
pop_1193,"Bir de, sadece buraya özel de",,,,,,,,,,,,
pop_929,Grönland ve Antartika'nın erimesi sonucu sular altında kalan İstanbul'dan kurtulanların barındığı Bolu dağlarındaki balıkçılar lüfer akınından çok mutlu oldular.,,,,,,,,,,,,
news_291,"""Kıbrıs çözülürse, Türkiye'ye tarih verilmesine kimse itiraz etmeyecek"" görüşünü dile getiren Papandreu,  ""Türkiye için çarpışıyoruz, ama Almanya'nın neyi yapacağı önemli"" dedi.",,,,,,,,,,,,
ess_825,Ölümle şakalaşabildiğimiz zaman parçası.,,,,,,,,,,,,
news_697,Muhalefet partisi lideri bu savcının yaptığını 'sivil darbe' olarak niteledi. ,,,,,,,,,,,Tırnak punctuation olarak algılanmamış,
bio_1990,Bizlerin Şefik dert dağıtım merkezi sanki.,,,,,,,,,,,,
ins_1239,Ağaçların arasında şırıl şırıl akan güzel bir dere varmış. ,,,,,,,,,,,,
bio_265,"Ahmet Hamdi Tanpınar, Beş Şehir adlı başyapıtında Konya'yı dile getirirken, 699 yılının o müthiş günlerinden de söz açar.",,,,,,,,,,,,
news_1115,Mahkemede büyük bir olasılıkla yürütmeyi durdurma kararı alacak. ,,,,,,,,,,,,
pop_802,Ne yapacakları önceden pek kestirilemiyor. ,,,,,,,,,,,5: Surface form doğruysa Voice=Cau eksik,
news_631,"Sürenin uzunluğu, önce toplantının tartışmalı geçtiği izlenimini doğururdu.",,,,,,,,,,,,
ins_920,Ben de bu erdemin yüksek bir derecesine sahibim.,,,,,,,,,,,,
pop_1585,* açıklanamayan vajinal kanama durumunda.,,,,,,,,,,,,
pop_1033,"Çevremizdeki yarım duvarlarda, 9 Ağustos sabahını anlatan plaketler var.",,,,,,,,,,,,
bio_390,Yarın işim çok.,,,,,,,,,,,,
ins_274,- Aynı olay Amerika'da da olmuştu. ,,,,,,,,,,,"6: ""olmuş"" da oluyor ""olmuştu"" da",
pop_1612,Soğanı yemeklik doğra. ,,,,,,,,,,,,
news_1727,"Kurul başkanı İsmail Alptekin, 14 Mayıs ""ilk adım"" toplantısında ""Emaneti bir başka abiye teslim ediyorum."" deyip genel başkanlığı Recai Kutan'a devretti.",,,,,,,,,,,"1: Sanırım ""kurul"" olmalı ama ""kur"" yazıyor.","20: ."" şeklinde iki punctuation birleşmiş"
bio_1657,"Osman paşaya diyor ki ""Ben planı yaparım, hedefleri gösteririm tabur komutanına veririm o inisiyatifiyle istediği yere yürür""  ",,,,,,,,,,,2: sanırım case bilgisi yanlış,
